scenario_type,scenario_label,angular_weight_strategy,angular_weight_sum,angle_count,minimum_angle_deg,maximum_angle_deg,total_angle_span_deg,evaluation_z_mm,method,measurement_ok,peak_x_mm,peak_x_bias_mm,peak_amplitude,background_rms,peak_to_background_db,lateral_fwhm_mm,lateral_width_minus10_db_mm,lateral_width_minus20_db_mm,samples_per_fwhm,grid_spacing_mm,measurement_error,removed_angle_deg,angular_weight_l1_norm
angle_span,8 deg total span,sign(angle),0.0,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,2671.8544921875,6.070832168657264,52.87129152509827,0.11595492502846433,0.17584034134768844,0.28936837755388345,296.8446080728803,0.00039062499999998473,,,
angle_span,12 deg total span,sign(angle),0.0,17,-6.0,6.0,12.0,20.1,DAS,True,0.0,0.0,66007.6953125,,,0.25613700328219274,0.3223973722310354,0.6676546021707661,655.710728402439,0.00039062499999998473,,,
angle_span,12 deg total span,sign(angle),0.0,17,-6.0,6.0,12.0,20.1,Conventional NSI,True,0.0,0.0,3300.092529296875,1.34483998728183,67.79711006189294,0.009866285745721598,0.01854791878498272,0.06106748974149914,25.25769150904828,0.00039062499999998473,,,
angle_span,12 deg total span,sign(angle),0.0,17,-6.0,6.0,12.0,20.1,Angular NSI,True,0.0,0.0,3300.380615234375,9.780222057277207,50.56430624374316,0.15101533828133443,0.21863068111260076,0.34018244539134773,386.59926600023124,0.00039062499999998473,,,
angle_span,16 deg total span,sign(angle),0.0,17,-8.0,8.0,16.0,20.1,DAS,True,0.000390625,0.000390625,30618.59375,,,0.28361234976651617,0.38520543304514443,0.8530040718059333,726.0476154023098,0.00039062499999998473,,,
angle_span,16 deg total span,sign(angle),0.0,17,-8.0,8.0,16.0,20.1,Conventional NSI,True,0.0,0.0,1530.780029296875,2.88635298049281,54.49126693205063,0.009588226647737053,0.01778367458241671,0.05807141420462987,24.545860218207817,0.00039062499999998473,,,
angle_span,16 deg total span,sign(angle),0.0,17,-8.0,8.0,16.0,20.1,Angular NSI,True,0.0,0.0,1530.9134521484375,17.45203063425936,38.862093451348684,0.09212706848678087,0.15140798696039398,0.3283871490636503,235.84529532616824,0.00039062499999998473,,,
missing_angle,symmetric baseline,sign(angle),0.0,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53437.4453125,489.5172508311495,40.761553729128664,0.22583706239931722,0.2820058969681124,0.5243583409268576,578.1428797422747,0.00039062499999998473,,,
missing_angle,symmetric baseline,sign(angle),0.0,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2671.673583984375,0.13801952320384245,85.73685747280074,0.008978267001653516,0.0169533689600971,0.05598056879039014,22.9843635242339,0.00039062499999998473,,,
missing_angle,symmetric baseline,sign(angle),0.0,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,2671.8544921875,6.070832168657264,52.87129152509827,0.11595492502846433,0.17584034134768844,0.28936837755388345,296.8446080728803,0.00039062499999998473,,,
missing_angle,missing: raw sign,"sign(angle), not zero mean",-1.0,16,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,51781.25,861.1452915449979,35.58192197493795,0.2253850504748762,0.28083668314066723,0.37933367453687017,576.9857292157056,0.00039062499999998473,,2.0,15.0
missing_angle,missing: raw sign,"sign(angle), not zero mean",-1.0,16,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2588.870849609375,0.20079072607446247,82.20733470521934,0.008980950115701321,0.0169623201302926,0.05604313753858025,22.99123229619628,0.00039062499999998473,,2.0,15.0
missing_angle,missing: raw sign,"sign(angle), not zero mean",-1.0,16,-4.0,4.0,8.0,20.1,Angular NSI,True,-0.012890625000000001,-0.012890625000000001,952.443603515625,0.9644880478014681,59.89084838733622,0.14660293115462275,0.1874913074597745,0.2523254041781803,375.3035037558489,0.00039062499999998473,,2.0,15.0
missing_angle,missing: recentered,"zero-mean, L1-normalized recentering",0.0,16,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,51781.25,861.1452915449979,35.58192197493795,0.2253850504748762,0.28083668314066723,0.37933367453687017,576.9857292157056,0.00039062499999998473,,2.0,15.0
missing_angle,missing: recentered,"zero-mean, L1-normalized recentering",0.0,16,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2588.870849609375,0.20079072607446247,82.20733470521934,0.008980950115701321,0.0169623201302926,0.05604313753858025,22.99123229619628,0.00039062499999998473,,2.0,15.0
missing_angle,missing: recentered,"zero-mean, L1-normalized recentering",0.0,16,-4.0,4.0,8.0,20.1,Angular NSI,True,0.058984375000000006,0.058984375000000006,1236.763916015625,0.7395571286724361,64.46630156183949,0.19259942098004693,0.2409663170638306,0.3174781082446883,493.0545177089394,0.00039062499999998473,,2.0,15.0
