perturbation_type,noise_snr_db,phase_jitter_sd_deg,realization,angle_count,minimum_angle_deg,maximum_angle_deg,total_angle_span_deg,evaluation_z_mm,method,measurement_ok,peak_x_mm,peak_x_bias_mm,peak_amplitude,background_rms,peak_to_background_db,lateral_fwhm_mm,lateral_width_minus10_db_mm,lateral_width_minus20_db_mm,samples_per_fwhm,grid_spacing_mm,measurement_error
noise,30.0,0.0,3,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53412.03515625,490.0292246767755,40.74834289306285,0.2259317500212198,0.282115640359207,0.5244833406992618,578.3852800543452,0.00039062499999998473,
noise,30.0,0.0,3,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2641.574951171875,0.13904435329249343,85.57419162458702,0.009138156947100696,0.01717283703899846,0.05654633916845449,23.393681784578696,0.00039062499999998473,
noise,30.0,0.0,3,17,-4.0,4.0,8.0,20.1,Angular NSI,True,-0.000390625,-0.000390625,2666.5771484375,6.037243173094974,52.90230967941148,0.11686187601377662,0.17649328092599534,0.2887071934635691,299.16640259527986,0.00039062499999998473,
noise,30.0,0.0,4,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53430.51953125,490.5250576541691,40.742563991417384,0.22589227115016608,0.2820747622268711,0.5247096006908611,578.2842141444478,0.00039062499999998473,
noise,30.0,0.0,4,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2659.374755859375,0.13827039193079174,85.68100696061211,0.009041226201601943,0.017038275539588046,0.05620901988211503,23.14553907610188,0.00039062499999998473,
noise,30.0,0.0,4,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,2668.935546875,6.022385961804208,52.93139001806065,0.11672050757091582,0.1760044260659155,0.28942692328771213,298.8044993815562,0.00039062499999998473,
noise,30.0,0.0,5,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53449.6796875,486.2870461987869,40.82104812020753,0.22583780011476,0.2820345323574198,0.5242460897540974,578.1447682938082,0.00039062499999998473,
noise,30.0,0.0,5,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2660.525390625,0.13764811895397772,85.72394254168927,0.009042618944117349,0.01704054899630416,0.05619673487315756,23.14910449694132,0.00039062499999998473,
noise,30.0,0.0,5,17,-4.0,4.0,8.0,20.1,Angular NSI,True,-0.000390625,-0.000390625,2649.962646484375,5.922839373744272,53.01419594810196,0.11633016236492069,0.17692282280683125,0.29046738444194603,297.8052156542086,0.00039062499999998473,
noise,30.0,0.0,6,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53457.06640625,498.258079598153,40.61101544471806,0.225781622419747,0.28198461151343246,0.5238835478399789,578.0009533945749,0.00039062499999998473,
noise,30.0,0.0,6,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2657.480224609375,0.1374131157156112,85.72883708986019,0.009056584873726053,0.01705647230245734,0.05622929461240499,23.184857276739603,0.00039062499999998473,
noise,30.0,0.0,6,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.00078125,0.00078125,2669.659423828125,6.146582549302635,52.75644284149042,0.11628779251964286,0.17547846796221983,0.28857990590128363,297.69674885029735,0.00039062499999998473,
noise,30.0,0.0,7,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53464.0625,497.51979944993144,40.6250317413759,0.2257749906638494,0.28196028272892654,0.5239642904623922,577.9839760994771,0.00039062499999998473,
noise,30.0,0.0,7,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2656.850341796875,0.13977000179933186,85.57906241776207,0.009065330883193251,0.017069640770908466,0.056263927699340355,23.20724706097563,0.00039062499999998473,
noise,30.0,0.0,7,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.00078125,0.00078125,2667.4931640625,6.061189677162878,52.87090880454545,0.11706519116001456,0.17630649081641003,0.2897089261188255,299.68688936964895,0.00039062499999998473,
noise,30.0,0.0,8,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53432.26953125,484.5241456369828,40.8497639352924,0.22584002498607028,0.28202668331099545,0.5241797941477069,578.1504639643625,0.00039062499999998473,
noise,30.0,0.0,8,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2647.2392578125,0.13828025167512523,85.64066066722847,0.009112478067981841,0.017138105008839,0.05643570895860133,23.327943854034423,0.00039062499999998473,
noise,30.0,0.0,8,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0011718750000000002,0.0011718750000000002,2659.146240234375,5.999270983195667,52.932874858222675,0.11677875926954238,0.17637012694985735,0.2893297553951001,298.9536237300402,0.00039062499999998473,
noise,30.0,0.0,9,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53436.703125,481.6213154469968,40.90267912313928,0.22582917607941405,0.28202538233844937,0.524542141808082,578.1226907633226,0.00039062499999998473,
noise,30.0,0.0,9,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2653.46630859375,0.13667453830404325,85.76251924434871,0.009087697870788973,0.017107426782824703,0.056382278898154774,23.26450654922068,0.00039062499999998473,
noise,30.0,0.0,9,17,-4.0,4.0,8.0,20.1,Angular NSI,True,-0.00078125,-0.00078125,2667.628173828125,5.901435896245268,53.103352030263494,0.11570988388118954,0.17546529801706784,0.28959136056620577,296.2173027358568,0.00039062499999998473,
