repetition,order_within_repetition,method,elapsed_seconds,elapsed_milliseconds
35,3,Conventional NSI (two fields),0.029997248988365754,29.997248988365754
35,4,Angular NSI (stored angle stack),0.024433700993540697,24.433700993540697
36,1,Angular NSI (stored angle stack),0.023576191000756808,23.576191000756808
36,2,Angular NSI (streaming),0.02627243401366286,26.27243401366286
36,3,DAS / coherent compounding,0.023743179001030512,23.743179001030512
36,4,Conventional NSI (two fields),0.0297559439932229,29.7559439932229
37,1,DAS / coherent compounding,0.025058817001990974,25.058817001990974
37,2,Conventional NSI (two fields),0.029832782005541958,29.832782005541958
37,3,Angular NSI (streaming),0.023826874006772414,23.826874006772414
37,4,Angular NSI (stored angle stack),0.023477078997530043,23.477078997530043
38,1,Angular NSI (stored angle stack),0.023824906995287165,23.824906995287165
38,2,Angular NSI (streaming),0.025818640991928987,25.818640991928987
38,3,DAS / coherent compounding,0.023826235003070906,23.826235003070906
38,4,Conventional NSI (two fields),0.029215796996140853,29.215796996140853
39,1,Conventional NSI (two fields),0.03295643100864254,32.95643100864254
39,2,DAS / coherent compounding,0.02420933000394143,24.20933000394143
39,3,Angular NSI (streaming),0.024195060002966784,24.195060002966784
39,4,Angular NSI (stored angle stack),0.023354314995231107,23.354314995231107
40,1,Angular NSI (stored angle stack),0.025566659998730756,25.566659998730756
40,2,Angular NSI (streaming),0.02334798600350041,23.34798600350041
40,3,DAS / coherent compounding,0.025390052993316203,25.390052993316203
40,4,Conventional NSI (two fields),0.029490824992535636,29.490824992535636
41,1,DAS / coherent compounding,0.023476524991565384,23.476524991565384
41,2,Conventional NSI (two fields),0.02904619499167893,29.04619499167893
41,3,Angular NSI (stored angle stack),0.02501650300109759,25.01650300109759
41,4,Angular NSI (streaming),0.02312286599772051,23.12286599772051
42,1,Angular NSI (stored angle stack),0.024069621998933144,24.069621998933144
42,2,DAS / coherent compounding,0.023106382999685593,23.106382999685593
42,3,Angular NSI (streaming),0.02565454899740871,25.65454899740871
42,4,Conventional NSI (two fields),0.029669872994418256,29.669872994418256
43,1,Angular NSI (streaming),0.025006944008055143,25.006944008055143
43,2,Conventional NSI (two fields),0.029274428001372144,29.274428001372144
43,3,Angular NSI (stored angle stack),0.02495217099203728,24.95217099203728
43,4,DAS / coherent compounding,0.021940983991953544,21.940983991953544
44,1,Angular NSI (stored angle stack),0.025564427007338963,25.564427007338963
44,2,DAS / coherent compounding,0.02331724000396207,23.31724000396207
44,3,Angular NSI (streaming),0.024366704004933126,24.366704004933126
44,4,Conventional NSI (two fields),0.02884073500172235,28.84073500172235
45,1,DAS / coherent compounding,0.02510934699967038,25.10934699967038
45,2,Angular NSI (streaming),0.025144439001451246,25.144439001451246
45,3,Conventional NSI (two fields),0.028457045991672203,28.457045991672203
45,4,Angular NSI (stored angle stack),0.023590826996951364,23.590826996951364
46,1,Angular NSI (stored angle stack),0.024480851003318094,24.480851003318094
46,2,Angular NSI (streaming),0.023249274003319442,23.249274003319442
46,3,DAS / coherent compounding,0.023348336995695718,23.348336995695718
46,4,Conventional NSI (two fields),0.02810553000017535,28.10553000017535
47,1,Angular NSI (stored angle stack),0.025464862992521375,25.464862992521375
47,2,Conventional NSI (two fields),0.030248972994741052,30.248972994741052
47,3,DAS / coherent compounding,0.024582033991464414,24.582033991464414
47,4,Angular NSI (streaming),0.024095513988868333,24.095513988868333
48,1,Angular NSI (stored angle stack),0.025153773996862583,25.153773996862583
48,2,Angular NSI (streaming),0.023072140000294894,23.072140000294894
48,3,DAS / coherent compounding,0.02411087199288886,24.11087199288886
